"gamename","year","sells"
"Minecraft","2014","54300000"
"Minecraft","2015","72300000"
"Minecraft","2016","100300000"
"Minecraft","2017","122300000"
"Minecraft","2018","154300000"
"Minecraft","2019","176300000"
"Minecraft","2020","200300000"
"Grand Theft Auto V","2014","46300000"
"Grand Theft Auto V","2015","61300000"
"Grand Theft Auto V","2016","76300000"
"Grand Theft Auto V","2017","91300000"
"Grand Theft Auto V","2018","101300000"
"Grand Theft Auto V","2019","120300000"
"Grand Theft Auto V","2020","140300000"
"Red Dead Redemption 2","2018","17300000"
"Red Dead Redemption 2","2019","26530000"
"Red Dead Redemption 2","2020","31300000"
"Red Dead Redemption 2","2021","39300000"
"PlayerUnknown's Battlegrounds","2017","30300000"
"PlayerUnknown's Battlegrounds","2018","50300000"
"PlayerUnknown's Battlegrounds","2019","60300000"
"PlayerUnknown's Battlegrounds","2020","70300000"
"The Witcher","2013","6300000"
"The Witcher","2017","25300000"
"the Witcher","2019","40300000"
"the Witcher","2020","50300000"
"the Witcher","2022","65300000"
"Tomb Raider series","2014","35000000"
"Tomb Raider series","2016","45000000"
"Tomb Raider series","2017","60000000"
"Tomb Raider series","2020","81000000"
"Resident evil Series","2014","50300000"
"Resident evil Series","2015","50300000"
"Resident evil Series","2016","50300000"
"Resident evil Series","2017","50300000"
"Resident evil Series","2018","50300000"
"Resident evil Series","2019","50300000"
"Resident evil Series","2020","50300000" 
"Assassin's Creed series","2014","73000000"
"Assassin's Creed series","2016","100000000" 
"Assassin's Creed series","2019","140000000" 
"Assassin's Creed series","2020","155000000" 
"Final Fantasy series","2014","110000000" 
"Final Fantasy series","2016","115000000" 
"Final Fantasy series","2017","135000000" 
"Final Fantasy series","2020","159000000" 



